127.0.0.1 - - [23/Apr/2022:14:51:11 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:13 +0700] "GET /Spring_MVC_Project_Final/resources-management/assets/plugins/simple-line-icons/fonts/Simple-Line-Icons.woff2?v=2.4.0 HTTP/1.1" 200 30064
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:13 +0700] "GET /Spring_MVC_Project_Final/resources-management/assets/plugins/material-icons/iconfont/MaterialIcons-Regular.woff2 HTTP/1.1" 200 44300
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:31 +0700] "GET /Spring_MVC_Project_Final/addRoom HTTP/1.1" 200 25583
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:31 +0700] "GET /Spring_MVC_Project_Final/resources-management/assets/plugins/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31002
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:31 +0700] "GET /Spring_MVC_Project_Final/resources-management/assets/plugins/simple-line-icons/simple-line-icons.min.css HTTP/1.1" 200 13718
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:31 +0700] "GET /Spring_MVC_Project_Final/resources-management/assets/plugins/morris/morris.css HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:31 +0700] "GET /Spring_MVC_Project_Final/resources-management/assets/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 144883
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:31 +0700] "GET /Spring_MVC_Project_Final/resources-management/assets/plugins/summernote/summernote.css HTTP/1.1" 200 15537
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:31 +0700] "GET /Spring_MVC_Project_Final/resources-management/assets/plugins/datatables/plugins/bootstrap/dataTables.bootstrap4.min.css HTTP/1.1" 200 5033
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:31 +0700] "GET /Spring_MVC_Project_Final/resources-management/assets/css/material_style.css HTTP/1.1" 200 4512
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:31 +0700] "GET /Spring_MVC_Project_Final/resources-management/assets/plugins/dropzone/dropzone.css HTTP/1.1" 200 13073
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:31 +0700] "GET /Spring_MVC_Project_Final/resources-management/assets/plugins/material/material.min.css HTTP/1.1" 200 141302
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:31 +0700] "GET /Spring_MVC_Project_Final/resources-management/assets/plugins/material-datetimepicker/bootstrap-material-datetimepicker.css HTTP/1.1" 200 3656
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:31 +0700] "GET /Spring_MVC_Project_Final/resources-management/assets/css/plugins.min.css HTTP/1.1" 200 30425
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:31 +0700] "GET /Spring_MVC_Project_Final/resources-management/assets/css/pages/animate_page.css HTTP/1.1" 200 58594
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:31 +0700] "GET /Spring_MVC_Project_Final/resources-management/assets/plugins/jquery-blockui/jquery.blockui.min.js HTTP/1.1" 200 9569
